ground.truth,label
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,2
nominal,0
anomaly,2
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,1
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,2
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,2
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,2
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,2
nominal,0
nominal,0
anomaly,2
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,1
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,1
anomaly,1
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,2
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,2
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,2
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,1
anomaly,1
nominal,0
anomaly,1
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,1
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,1
anomaly,2
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,2
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,2
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,1
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,2
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,2
nominal,0
anomaly,2
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,1
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,2
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,1
anomaly,1
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,2
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,1
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
anomaly,2
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
nominal,0
